Wort,Rank,Sprachniveau_Est,Wortart,Erklärung,DWDS_Erklärung,Synonyme,Beispielsatz
glimpflich,7690,C1-C2,Adjektiv,"milde, schonend",,,Du wirst lachen: Er hat dich noch glimpflich behandelt!
alleinerziehend,7691,C1-C2,Adjektiv,"einen Elternteil betreffend, der sein Kind oder seine Kinder allein großzieht",,,"„Wenn du finanziell überhaupt keinen Spielraum hast, dann suche dir ein, zwei andere alleinerziehende Mütter und wechselt euch mit der Betreuung der Kinder ab.“"
anfallen,7692,C1-C2,Verb,jemanden plötzlich und meist gewaltsam attackieren,,"überfallen, ergreifen, erfassen, befallen, auftreten",Der Hund riss sich los und fiel einen Passanten an.
ramponiert,7693,C1-C2,Adjektiv,"in einem sehr schlechten, stark mitgenommenem Zustand",,,"„Die Dame sitzt erschöpft, aber nicht ramponiert auf einer Bank unter einer Linde, ihr Liebster steht neben ihr, hält ihre Hand und erklärt ihr das Vorgefallene: […]“"
verschwimmen,7694,C1-C2,Verb,undeutlich oder unklar werden,,,Der Horizont verschwamm im Nebel.
ehrenhalber,7695,C1-C2,Adverb,als Ehrung,,honoris causa,Der Titel wurde ihr ehrenhalber verliehen.
unpünktlich,7696,C1-C2,Adjektiv,nicht pünktlich,,,Heute ist mein Zug unpünktlicher als sonst.
trübsinnig,7697,C1-C2,Adjektiv,melancholisch gestimmt,,"schwermütig, niedergeschlagen, melancholisch, trübselig","„Abu Salomon hielt inne, erschrocken über seine trübsinnigen Gedanken.“"
abdichten,7698,C1-C2,Verb,"etwas dicht, undurchlässig machen",,"dichtmachen, isolieren, dicht machen","Bevor wir in das neue Haus einziehen können, muss der Handwerker das Dach abdichten."
justieren,7699,C1-C2,Verb,"ein Gerät oder eine Maschine, bei denen es auf eine genaue Einstellung ankommt, vor Gebrauch einstellen",,,"„Wenn man hier an irgendeiner Stellschraube dreht, muss man auch den Rest des Räderwerks neu justieren.“"
waagerecht,7700,C1-C2,Adjektiv,parallel zu einer flachen Erdoberfläche; im rechten Winkel zur Lotlinie,,horizontal,Unter den Text wird eine waagerechte Linie gezogen.
überfürsorglich,7701,C1-C2,Adjektiv,gegenüber Schutzbefohlenen bemühter als notwendig; in übertriebenem Maße fürsorglich,,,Überfürsorgliche Eltern werden auch als „Helikopter-Eltern“ bezeichnet.
stranden,7702,C1-C2,Verb,auf Strand laufen,,"scheitern, aufsitzen, auflaufen","Als die Ankerkette gebrochen war, vertrieb die Bark und strandete auf Terschelling."
protokollieren,7703,C1-C2,Verb,eine Zusammenkunft in seinem Hergang und Gesprächsverlauf in einer Niederschrift  schriftlich festhalten,,,"Das Gespräch zu protokollieren und der Personalakte hinzuzufügen, ist nicht erlaubt, wenn es keine entsprechende Betriebsvereinbarung zwischen der Geschäftsführung und dem Betriebsrat gibt."
unschätzbar,7704,C1-C2,Adjektiv,außerordentlich groß oder wichtig,,"luxuriös, kostbar, teuer, wertvoll, unbezahlbar",Ihre Hilfe ist für mich von unschätzbarem Wert.
morsch,7705,C1-C2,Adjektiv,durch Fäulnis hohl und brüchig und dem Zerfall nahe,,,"Der Hocker war so morsch, dass er schon zusammenbrach, als sie ihre Handtasche darauf stellte."
mulmig,7706,C1-C2,Adjektiv,unbehaglich; unangenehmes  Gefühl empfindend,,,"Ich habe Höhenangst, stehe ich auf einem Berg, dann wird mir ganz mulmig."
zermahlen,7707,C1-C2,Verb,"mit Hilfe eines Werkzeugs, zum Beispiel einer Mühle, in kleinste Teile zerlegen",,,Die Hirsekörner werden zwischen zwei Steinscheiben zermahlen.
destruktiv,7708,C1-C2,Adjektiv,"zerstörend, zersetzend",,"zersetzend, zerstörend, abbauend","„Die große Gefahr besteht, dass ausgerechnet Deutschlands Parlament so die destruktiven Kräfte in Europa stärkt, all jene, die das Ende der europäischen Einigung betreiben“"
implodieren,7709,C1-C2,Verb,mit einem Schlag  in sich zusammenfallen,,,„Das erste Reaktionsgefäß mit einem Fernbachkolben als Grundkörper implodierte bei den Rotationsversuchen unter Vakuum.“
wohltätig,7710,C1-C2,Adjektiv,anderen Menschen helfend,,"wohltuend, mildtätig, angenehm, karitativ",Sie engagiert sich seit Jahren für wohltätige Zwecke.
überschwemmen,7711,C1-C2,Verb,"ein Gebiet unter Wasser setzen, über die Ufer treten",,"überhäufen, überfluten",Der Feldweg wurde vom Fluss überschwemmt.
todschick,7712,C1-C2,Adjektiv,sehr schick; sehr in Mode,,,Zurzeit gelten übergroße Sonnenbrillen als todschick.
daliegen,7713,C1-C2,Verb,eine liegende Position innehaben und sich nicht sichtbar bewegen,,,"Wie still sie daliegt, ganz klein sieht sie aus in dem großen Bett."
gräten,7714,C1-C2,Verb,Knochen/Fischknochen  entfernen,,,"Den Fisch ausnehmen und gräten, Kopf und Flossen entfernen und ihn wässern."
wetteifern,7715,C1-C2,Verb,"mit jemandem konkurrieren und versuchen, ihn zu übertreffen",,,"„Die klassische Industrie wetteifert mit der modernen IT-Wirtschaft darum, wer im Geschäft mit Servicerobotern die Nase vorn hat.“"
belesen,7716,C1-C2,Adjektiv,"versiert im Bereich Literatur, reich an Kenntnissen",,kenntnisreich,"Die Handlung spielt Anfang der Siebzigerjahre und ist, so sind sich viele Kritiker einig, nur schwer festzunageln: Herrndorf sei ungewöhnlich im Ton, gewitzt und belesen, stilsicher und einfallsreich."
damenhaft,7717,C1-C2,Adjektiv,"wie eine Dame, verbunden mit den Attributen und der Erscheinung, die einer Dame zugeschrieben werden",,,"[Über die Schauspielerin Olivia de Havilland:] „Nachdem sie zuvor fast ausschließlich gutmütige und damenhafte Figuren gespielt hatte, nahm sie nun auch häufig dramatische Rollen mit düsteren Facetten an.“"
ereilen,7718,C1-C2,Verb,jemanden auf unangenehme Weise einholen/erreichen/überraschen,,,"„Eine Attacke der Höhenkrankheit hat den Bergsteiger ereilt und zwingt ihn, sein Vorhaben aufzugeben.“"
abkoppeln,7719,C1-C2,Verb,"eine feste Verbindung, zum Beispiel durch eine Stange oder Anhängerkupplung, zwischen zwei Teilen lösen",,,"Erst das Pferd entladen, dann den Pferdeanhänger abkoppeln."
schleppend,7720,C1-C2,Adjektiv,"ein Vorgang, der nur langsam vor sich geht",,,Der Bau der neuen Autobahn kommt nur schleppend voran.
abgebrüht,7721,C1-C2,Adjektiv,"ohne Gefühl, ohne Empfindungen, hart",,,"Als Trainer bei Bayern München muss man abgebrüht sein, sonst schafft man den Job nicht."
akut,7722,C1-C2,Adjektiv,in diesem Moment  wichtig,,,Die damalige Wissenslücke stellte sich als akutes Problem dar.
verkrampfen,7723,C1-C2,Verb,sich fest zusammenziehen,,,"„Es wird aber auch gesagt, daß Wadenmuskeln deshalb verkrampfen würden, weil Flüssigkeit fehlt. Das genau wäre ein identischer Vorgang wie bei den Migräne‐Hirngefäßen, wo die Muskel‐Gegenbewegung wegen fehlender Flüssigkeit möglicherweise nicht ausgeführt werden kann und deshalb die Blutgefäße verkrampfen.“"
hocharbeiten,7724,C1-C2,Verb,sich durch ehrgeiziges Handeln/Tätigsein im Beruf oder Ähnlichem in eine höhergestellte Position bringen,,"emporarbeiten, hinaufarbeiten, hinaufschaffen, heraufarbeiten","„Aus desolatesten Verhältnissen hatte sie sich hochgearbeitet – und erkannt, dass man immer mehr bieten muss als die Konkurrenz.“"
akademisch,7725,C1-C2,Adjektiv,"eine Hochschule oder Universität betreffend, eine Akademie betreffend",,,Sie bagann ihre akademische Laufbahn an der Universität Bielefeld.
optisch,7726,C1-C2,Adjektiv,die Optik betreffend,,,Brillen und Ferngläser sind optische Geräte.
kompromisslos,7727,C1-C2,Adjektiv,zu keinen Kompromissen bereit,,,Mit seiner kompromisslosen Haltung machte er sich keine Freunde.
containern,7728,C1-C2,Verb,"weggeworfene, noch genießbare Lebensmittel aus einem Abfallcontainer  holen",,"dumpstern, mülltauchen",Gestern Nacht habe ich vierzig Möhren containert!
heterosexuell,7729,C1-C2,Adjektiv,ausschließlich sexuelle Neigung zum anderen Geschlecht habend,,,"Die heterosexuellen Neigungen werden im Gegensatz zu den homosexuellen nur äußert selten hinterfragt, sondern viel mehr als Norm betrachtet."
heuchlerisch,7730,C1-C2,Adjektiv,"in der Art eines Heuchlers handelnd, unaufrichtig",,"scheinheilig, unaufrichtig","„Und als er zum König vorgelassen wurde, huldigte er ihm heuchlerisch und brachte das Amt des Hohenpriesters dadurch an sich selber, dass er dem König dreihundert Talente Silber mehr gab als Jason.“"
anzüglich,7731,C1-C2,Adjektiv,auf etwas Unangenehmes anspielend,,"spitzig, spitz, anstößig","Der Täter machte zunächst eine anzüglich sexistische Bemerkung, bevor er das Opfer vergewaltigte."
hervorgehen,7732,C1-C2,Verb,aus etwas entstehen; aus etwas resultieren; durch etwas bedingt sein; sich aus etwas ergeben,,"folgen, resultieren, entstehen, ergeben",Große Träume gehen aus einem starken Verlangen hervor.
unrechtmäßig,7733,C1-C2,Adjektiv,nicht dem Recht entsprechend,,"illegal, verboten","Der Konsum von Cannabis ist unrechtmäßig, wird jedoch nicht bestraft."
regungslos,7734,C1-C2,Adjektiv,"ohne jede Bewegung, absolut ruhig",,"starr, bewegungslos, reglos, unbeweglich","Regungslos wartet der Jäger auf seinem Hochsitz, um nur ja kein Geräusch zu machen."
nuklear,7735,C1-C2,Adjektiv,auf Kernreaktionen beruhend,,,Die nukleare Bedrohung war noch nie so hoch.
wortgewandt,7736,C1-C2,Adjektiv,"gewandt im Reden, rhetorisch begabt",,"wortgewaltig, redegewandt, sprachgewandt, beredt, eloquent",Der wortgewandte Politiker konnte seine Zuhörer begeistern.
tauglich,7737,C1-C2,Adjektiv,für etwas geeignet,,"wehrfähig, praktikabel, wehrdiensttauglich, einsetzbar, befähigt",Denn selbst wenn das Fernsehen nicht sonderlich tauglich wäre als Sozialisationsagent: In der Realität gibt es ja erkennbar eine Wirkungsmacht der Unterhaltungsmedien.
promoten,7738,C1-C2,Verb,ein Produkt oder eine Idee bewerben,,,"Sie sind zu Gast in Berlin, wo sie ihren neuesten Film promoten."
verhasst,7739,C1-C2,Adjektiv,"sehr ungeliebt, bei jemandem großen Widerwillen erregend",,verabscheut,„Wie mag ihm [Otto von Bismarck] nur die Welthymne der Revolution in den mächtigen Schädel gekommen sein? Ein süßer Spott in Richtung des Erbfeindes? Des eigenen Feindes im Inneren: der verhassten Demokraten-Brut? Wer weiß.“
beschriften,7740,C1-C2,Verb,"mit einer erklärenden Beschreibung, mit Text versehen",,,In unserer Kanzlei werden alle Akten nach einem ausgeklügelten System einheitlich beschriftet.
vertrauensselig,7741,C1-C2,Adjektiv,"schnell bereit, jemandem  Vertrauen zu schenken",,"leichtgläubig, naiv",Du bist Fremden gegenüber viel zu vertrauensselig.
einstreichen,7742,C1-C2,Verb,etwas mit etwas bestreichen,,,"Ich habe den alten Fensterrahmen mit Beize eingestrichen, die muss jetzt eine Weile einwirken."
sacht,7743,C1-C2,Adjektiv,sehr schwach ausgeprägt oder auch sehr langsam und deshalb kaum zu merken,,,Sacht fällt die Wiese zum Flussufer ab.
unbefangen,7744,C1-C2,Adjektiv,"ohne Bedenken, ohne Hemmungen",,"vorurteilslos, ungehemmt, unvoreingenommen, unparteiisch",Kinder gehen oft unbefangener an eine Sache heran.
gleichwohl,7745,C1-C2,Adverb,"den vorigen Satz abschwächend, in der Gültigkeit einschränkend, indem auf einen Widerspruch hingewiesen wird",,"dennoch, jedoch, dessen ungeachtet, trotzdem","In den beiden kleinen Dörfchen Herzberg und Wippra im Süden Sachsen-Anhalts keimen gleichwohl Hoffnungen auf eine touristische Belebung ihrer Region durch höchstens mit Hut, Rucksack und Schuhen bekleidete Wanderer."
ausleeren,7746,C1-C2,Verb,einen Behälter mit Flüssigkeiten oder festen Stoffen vollständig leer machen,,"ausladen, entleeren, ausgießen",Schafzüchter und Milchbauern auf Sardinien haben aus Protest Milch ausgeleert. Sie fordern höhere Milchpreise.
bourgeois,7747,C1-C2,Adjektiv,"zur Bourgeoisie gehörend, die Bourgeoisie betreffend",,,"Der bourgeoise Wähler verabscheut reißerische Wahlkampagnen, legt hingegen eher Wert auf sachliche Information."
durchblicken,7748,C1-C2,Verb,"durch etwas, zum Beispiel ein Fenster oder Fernglas, hindurchschauen",,,"Blick mal durch die Scharte durch, dann siehst du selbst, wie eingeschränkt das Sichtfeld der Schützen ist."
schnippen,7749,C1-C2,Verb,"mit einer kurzen, intensiven Bewegung eines vorschnellenden Fingers etwas fortschnellen",,"schnicken, schnipsen, knipsen, schnalzen, schnellen",Igor schnippte seinen Zigarettenstummel in den Schnee und zündete sich sofort die nächste Zigarette an.
aufstocken,7750,C1-C2,Verb,nachträglich ein Gebäude um ein oder mehrere Stockwerke erhöhen,,"erweitern, vermehren, vergrößern, erhöhen","Sie haben ihr Haus um eine Etage aufgestockt, um mehr Platz zu haben."
einschleichen,7751,C1-C2,Verb,"langsam, lautlos, leise, heimlich, unbemerkt hineinkommen",,,Die Diebe hatten sich in den Umkleideraum eingeschlichen und dort den Geschäftsschluss abgewartet.
warmhalten,7752,C1-C2,Verb,"dafür sorgen, dass einem jemand gewogen bleibt, dass gute Beziehungen bestehen bleiben",,,Wir sollten uns diesen Busenfreund des Parteivorsitzenden unbedingt warmhalten.
entlaufen,7753,C1-C2,Verb,sich einer Obhut entziehen,,"entwischen, davonlaufen","„Viele haben sicher noch die Bilder aus dem georgischen Tiflis im Kopf, als dort im vergangenen Jahr nach einer Überschwemmung ein Tiger entlaufen war und einen Mann tötete.“"
schlappmachen,7754,C1-C2,Verb,"nicht weiter durchhalten, sondern aufgeben",,,Du kannst doch jetzt nicht einfach schlappmachen! Los! Weiter!
musizieren,7755,C1-C2,Verb,Musik machen,,,Eltern singen und musizieren immer weniger mit ihren Kindern.
bezaubert,7756,C1-C2,Adjektiv,"von Zauber eingenommen sein, vom Reiz ergriffen sein",,,Du hast eine bezauberte Frau.
anfunken,7757,C1-C2,Verb,über Funk mit jemandem Kontakt aufnehmen,,,"„Ein Alarmknopf am Arm oder an einer Halskette, mit dem Alleinstehende eine Notrufzentrale anfunken können, kostet rund 20 Euro im Monat.“"
einwirken,7758,C1-C2,Verb,allmählich seine Wirkung auf etwas entfalten,,"beeinflussen, durchwirken",Man sollte die Maske eine Viertelstunde einwirken lassen und dann mit lauwarmem Wasser abwaschen.
unzulänglich,7759,C1-C2,Adjektiv,"so, dass es nicht den Anforderungen entspricht oder zu wenig ist; nicht ausreichend",,,Auch die Straßenverbindungen sind im Dikti-Gebirge bisher eher unzulänglich.
nacktbaden,7760,C1-C2,Verb,"ohne Kleidung im Meer, Schwimmbad oder See baden",,,Sie hatten den ganzen Nachmittag am Strand nacktgebadet.
tunken,7761,C1-C2,Verb,in eine Flüssigkeit herablassen; eintauchen,,,Er tunkt den Pinsel in die Ölfarbe und streift ihn am Rand ab.
unverbindlich,7762,C1-C2,Adjektiv,"nicht verbindlich, ohne Festlegung",,"zwanglos, distanziert",Wir können darüber mal ganz unverbindlich reden.
anbei,7763,C1-C2,Adverb,"gehoben, schriftsprachlich: zusammen mit einem Schreiben, Brief, Paket",,"beigefügt, Anlage, Beilage, beigelegt, hierbei",Die ausstehenden 50 € erhältst du anbei.
korrumpieren,7764,C1-C2,Verb,"durch Gewährung von Vorteilen bestechen, und somit auch moralisch verderben",,,"Schwer sei es manchmal gewesen, sich nicht korrumpieren zu lassen."
unbefleckt,7765,C1-C2,Adjektiv,ohne Verschmutzung,,,"Bringen Sie mir bitte eine neue, unbefleckte Serviette."
maximieren,7766,C1-C2,Verb,auf ein Höchstmaß  bringen,,maximalisieren,"Diese Auffassung widerspricht gängigen Wirtschaftstheorien, die den Menschen als Homo oeconomicus sehen, der überlegt handelt und seinen Gewinn maximieren will."
primär,7767,C1-C2,Adjektiv,in erster Linie,,,„Die primäre und unverzichtbare Funktion der Zentralbanken ist die Stabilisierung des Finanzsystems.“
verstaubt,7768,C1-C2,Adjektiv,von Staub bedeckt,,"provinziell, schmutzig, verzopft, unmodern, altertümlich",Vor ein paar Jahren hab ich mal ein verstaubtes altes Exemplar gefunden und meiner Sekretärin geschenkt.
dellen,7769,C1-C2,Verb,"eine Beule  in etwas machen, von alleine eine Delle bekommen",,,Das Gewicht des Steins dellt die Plane nach innen.
gesalzen,7770,C1-C2,Adjektiv,mit Salz versehen,,"happig, saftig, gepfeffert",Ich esse gerne gesalzene Erdnüsse.
ausschöpfen,7771,C1-C2,Verb,"etwas, in dem sich Flüssigkeit befindet,  leeren",,,"Um Wasser aus dem Kahn auszuschöpfen, benutzen die Fischer die Kahnschippe, eine kleine Schaufel aus Blech mit kurzem Griff."
provokativ,7772,C1-C2,Adjektiv,"herausfordernd, eine Provokation enthaltend",,"herausfordernd, provozierend, provokant, provokatorisch",Dieses Verhalten kann man nur als provokativ verstehen.
tollkühn,7773,C1-C2,Adjektiv,Charaktereigenschaft eines Menschen: äußerst wagnisbereite und risikofreudige Person,,"verwegen, draufgängerisch, waghalsig, tolldreist","„Die sechsjährige Romy klettert, wie es ihre Art ist, wieder einmal tollkühn auf einen Baum, unter ihr das Wasser.“"
nature,7774,C1-C2,Adjektiv,ohne zusätzliche Zutaten zubereitet,,,
eintüten,7775,C1-C2,Verb,in Tüten packen,,einsackeln,Die Sekretärin tütete die Einladungen zur Jahreshauptversammlung ein.
trächtig,7776,C1-C2,Adjektiv,"Jungtiere erwartend, schwanger",,"schwanger, tragend",Nur die trächtigen Mutterschafe werden im Stall gehalten.
verbürgen,7777,C1-C2,Verb,"bereit sein, für die Glaubwürdigkeit einer Person einzustehen",,"einstehen, bürgen, beteuern",Ich verbürge mich für ihre Glaubwürdigkeit.
verzollen,7778,C1-C2,Verb,"Abgaben auf zollpflichtige Waren bezahlen, Zoll zahlen",,,"„Wenn du sie dann wirklich verzollst, ist der Preisvorteil meist schon wieder dahin, da ja nicht nur die Zollgebühren, sondern auch noch die MwST drauf kommt.“"
jugendlich,7779,C1-C2,Adjektiv,zwischen Kindheit und Erwachsensein,,"jugendhaft, jung, juvenil",Dieser Film ist nichts für jugendliche Zuseher.
schwermütig,7780,C1-C2,Adjektiv,über eine Gemütsstimmung: von Nachdenklichkeit und Melancholie geprägt,,"schwermutsvoll, niedergeschlagen, trübselig, melancholisch, trübsinnig",Nach dem Tod seiner Frau wurde er schwermütig.
edelmütig,7781,C1-C2,Adjektiv,die wertvollsten Charakterzüge in einem Gemüt vereint,,selbstlos,"„Als »heftiger Charakter, aber edelmütig, uneigennützig und wohlwollend« wurde er beschrieben.“"
galoppieren,7782,C1-C2,Verb,im Galopp laufen,,,Das Pferd galoppierte durch die Prärie.
bewandert,7783,C1-C2,Adjektiv,"erfahren, Kenntnisse über ein bestimmtes Wissensgebiet besitzend",,"firm, versiert, erfahren, kundig","""Wir benötigen einen Mitarbeiter, der nicht nur auf seinem Fachgebiet sehr bewandert ist, sondern auch über bestimmte Personal Skills verfügt."""
beneidenswert,7784,C1-C2,Adjektiv,"so beschaffen, dass es andere auch so haben möchten",,,Dir geht es hier beneidenswert gut.
hinlaufen,7785,C1-C2,Verb,sich schnell zu Fuß zu einem bestimmten Ort begeben,,"dahinrennen, hinrennen, dahinfließen, dahinströmen, dahinlaufen",Es war schon sehr spät – schnell bin ich zum Auto hingelaufen und fuhr nach Hause.
